tweet,Axial code by 1st coder,Axial code revisited by 1st coder,Axial Code by 2nd Coder,Reliability,Final code
 RationDistribution for NeedyFamilies they lost their dailyEarnings as LockDown going on to fightAgainst COVID19 We need your help to Serve More across the country Donate us PhonePe or GooglePay,DONATION,DONATION,Help Covid-19,1,DONATION
 Our policy covers Hospitalization expenses up to Rs 50000 for treatment at private hospitals We urge our customers to check their nearest private hospital offering Covid-19 treatment RS,INFORMATION,INFORMATION,Help Covid-19,1,INFORMATION
 Hi the Coronavirus treatment in government hospitals is free of cost With the surge in cases of Covid19 a growing number of private hospitals are now beginning to treat patients for Coronavirus and their count is increasing,INFORMATION,INFORMATION,Help Covid-19,1,INFORMATION
 India seems to be ahead of the game example is this new cover for shopkeepers during this time Also PhonePe launched an insurance policy for Covid-19 treatment in collaboration with bajaj Allianz insurance AAA,INFORMATION,INFORMATION,Help Covid-19,1,INFORMATION
 Public participation in COVID19 fight upichalega PMCARES UPI_NPCI NPCI_NPCI PhonePe_ GooglePay narendramodi,HELP-COVID19,HELP-COVID19,,0,HELP-COVID19
 i4India COVID19 PMReliefFund Contribute your bit I did mine For each contribution PhonePe Will contribute Rs10 Click on the below link to DonateDigitally Remember EachRupeeCounts DonateKaroNaIndia,DONATION,DONATION,Donation,1,DONATION
To donate any amount to support our Team PayTm Google Pay Phone Pe Only Whatsapp IndiaFightsCorona COVIDIndia SatkarFoundation donate PMCaresFund,DONATION,DONATION,Donation,1,DONATION
 PhonePe partners Bajaj Allianz for hospitalisation insurance policy for COVID-19 offers cover of Rs AAA,INFORMATION,INFORMATION,Help Covid-19,0,INFORMATION
 PMCARES Citizens who want to donate funds and help the govt in fighting against the COVID-19 in India can visit the official website make a contribution Pay can be made thrgh debit crds intbnking UPI BHIM PhonePe Amazon Google Pay Paytm Mobiwik,DONATION,DONATION,Donation,1,DONATION
 Hey PhonePe_ and PhonePeSupport how is this insurance useful to us right now Right now no private Hospital is treating COVID19 in India Then what the use of taking this insurance policy Is this a scam being done using people fear,COMPLAINT,COMPLAINT,Complaint,1,COMPLAINT
 I urge Please donate as much as possible to support nation in this covid19 pandemic u can donate pmcarefund using below link i4india donatekaronaup donatekaronaindia kumar78prabhat phonepe_ ImranAk93779296,DONATION,DONATION,Donation,1,DONATION
 PhonePe partners Bajaj Allianz for hospitalisation insurance policy for COVID-19 offers cover of Rs budget,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 Small drops make an ocean If we will add our efforts we can turn this donation drive into a huge movement to bring relief to all INDIANS affected by COVID19 Donate PMCARES FUND and let contribute  PhonePe Phonepesupport To donate   click here,DONATION,DONATION,Help Covid-19,1,DONATION
 PhonePe announced an insurance policy Corona Care in collaboration with Bajaj Allianz General Insurance for those who have been infected hospitalised for covid-19 treatment more AAA PhonePe_,INFORMATION,INFORMATION,Help Covid-19,1,INFORMATION
 Dear HDFCBank_Cares HDFC_Bank I am unable to contact your call center as getting IVR message that staffs are not working due to COVID-19 outbreak and lockdown The call is being disconnected by IVR after a message I have done a transaction via UPI on PhonePe_ on,COMPLAINT,COMPLAINT,Complaint,1,COMPLAINT
 Aap se request hai pls donate ta ke hum baccho ka maadat karte raye seke Covid19 ke chalte hame bilkul donation naie mil raha hai Narayan Narayani Foundation Kotak Mahindra Bank CC AC number IFSC code KKBK0006578 Branch Paytm Phonepe Googlepay AAA,REQUEST,REQUEST,Help Covid-19,1,REQUEST
 PhonePe has announced an insurance policy called Corona Care Priced at AAA156 the policy will provide an insurance cover of AAA50 000 for people who are under yrs business startup startupindia india ROC fintech NewsPicks NEWS UPDATE branding healthcare COVID19,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 COVID19  Donete to PMCAREFund  PMOIndia narendramodi JPNadda RajeshDhuriya3 PhonePe_ TajinderTiwana,DONATION,DONATION,Donation,1,DONATION
 UPI_NPCI crosses crore transactions in March despite COVID19 lockdown and YESBANK crisis PhonePe_ GooglePayIndia Paytm NPCI_BHIM NPCI_NPCI RBI FinMinIndia,APPRECIATION,APPRECIATION,Statistics,0,STATISTICS
 A small contribution towards a great cause from my end phonepe I will stand for India and I will do my bit in our fight against COVID,DONATION,DONATION,Help Covid-19,1,DONATION
 Great to see fintech PhonePe_ partner with BajajAllianz to distribute the latter Covid-19 insurance product Cc vishalgondal tapansinghel bhavishsood LucepTeam global folks who follow insurtech AAA,APPRECIATION,APPRECIATION,Appreciation,1,APPRECIATION
 UPI performed well in March despite of YES Bank moratorium COVID-19 It recorded Bn txns worth Rs Tn in March A decline in volume as compared to Feb  PM CARES Fund played a catalyst in driving txns G Pay PhonePe Paytm collecting several hundred crore via UPI ,INFORMATION,INFORMATION,Statistics,1,INFORMATION
 CoronavirusOutbreak Fintech startup PhonePe launches insurance for COVID19 treatment at Rs with Rs cover ShereenBhan CNBCTV18News BajajAllianz AAA,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 PhonePe launches insurance policy for Covid-19 treatment,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 PhonePe Offers Insurance for COVID-19 Treatment at Rs Read more latestnews PhonePeOffers InsuranceforTreatment,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 FinTechs PhonePe Digit launch Covid19 specific low-cost insurance policies  ibsintelligence insurance fintechnews covid19 coronacare,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 Our policy covers hospitalization expenses up to AAA for treatment at private hospitals We urge our customers to check their nearest private hospital offering COVID-19 treatment AAASS,REQUEST,REQUEST,Help Covid-19,1,REQUEST
 Hi Ashok the Coronavirus treatment in government hospitals is free of cost With the surge in cases of COVID-19 a growing number of private hospitals are now beginning to treat patients for Coronavirus And their count is increasing,QUERY ANSWER,QUERY ANSWER,Query Reply,1,QUERY ANSWER
 Covid-19   Phonepe App  NitinMi54352300,NULL,NULL,,1,NULL
 PhonePe_ PM CARES COVID RELATED FRAUD AAJ PM PR IS NO SE CALL AYI MUGHSE KAHA GYA K COVID19 K WGH SE GOV SBKO RS PHONEPE KR RHI HAI APKO MILA YA NHI TO USNE MUGHE YE LINK MERE NO PR BHEJA IS FRAUD PR UCHIT ACTION LE AUDIO RECORD B HAI,FRAUD,FRAUD,Fraud Alert,1,FRAUD
 Demonetisation was an opportunity for various Startup like PayTm PhonePe MobiKwik etc Corona is an opportunity for The Earth EcoSystem Folks AAAA opportunity coronavirus covid19 startups ecosystem thoughts BeSafeGoDigital StayHomeStaySafe,APPRECIATION,APPRECIATION,,0,APPRECIATION
 PhonePe announces insurance for Covid-19 treatment at AAA156 abhijitahaskar reports AAA,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 flyspicejet goibibo My PNR- Z5E8VR Date of travel April Booked via phonepe goibibo Due to covid19 flights has been cancelled and i tried to call upon your both the helpline but its useless non of them gets connected So help me out I am looking for REFUND only,REQUEST,REQUEST,Inconvenience,0,INCONVENIENCE
 Wondering how you can insure yourself against COVID-19 It just a few clicks away Click on Money on the Homepage of the PhonePe app,PUBLICITY,PUBLICITY,Marketing,1,PUBLICITY
Sequoia Capital Accel Lightspeed Venture Partners and startup CEOs Mukesh Bansal Abhiraj Bhal Kunal Shah Girish Mathrubootham to set up Rs Cr grant Omidyar India commits Mn to fight COVID-19 Donating in PMCARESFund Paytm PhonePe Amazon Snapdeal UpGrad,DONATION,DONATION,,0,DONATION
 paytm phonepe google pay   Fight against COVID19,NULL,NULL,,1,NULL
 Covid valla work lekunda untunna vallaki food arrangements kosam money collect chestunnam evaraina ivvali anukunte Google pay r phonepe Plz Help of Us,NULL,NULL,,1,NULL
 Covid-19 Phonepe App  ,NULL,NULL,,1,NULL
 E-mail anixelstudio444 gmail com For more details or demo please contact on the given number All payments are acceptable GOOGLE PAY PAYTM PHONE PE BHIM What ever the profit come out from this is going to be donated for this PANDEMIC COVID-19 ALL THE POOR WHO NEED FOOD AAA,CONVENIENCE,CONVENIENCE,Help Covid-19,1,CONVENIENCE
 It the cheapest the best covid-19 insurance policy available right now on digital platform which is offered only by PhonePe without any commission East or West PhonePe is the best AAAA IndiaFightsCornona,APPRECIATION,APPRECIATION,Appreciation,1,APPRECIATION
 I request everyone to do their bit interms of contributing to fight Covid help underprivileged On every Re donation we at PhonePe are adding Re are aiming at contributing Re Cr to PM Cares Fund i4india PhonePe kartejabadhteja UPI,REQUEST,REQUEST,Request,1,REQUEST
 We will not be making any revenue on this Covid-19 insurance product We gave up our distribution fees so that the insuranance company can make the policy premium for all users even cheaper,HELP-COVID19,HELP-COVID19,Help Covid-19,1,HELP-COVID19
 Introducing Coronavirus Insurance at just AAA156 This covers expenses for hospitalization due to COVID-19 up to  To make this insurance affordable for everyone we have waived off our sales commission on all COVID-19 policies Click here ,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 Covid-19 Support pours in for PM-CARES Fund as India gears up for battle Flipkart-owned PhonePe has launched a donation drive and said it aims to contribute up to More on utm_source twitter utm_medium social utm_campaign ReviveOldPost,DONATION,DONATION,Help Covid-19,1,DONATION
 DelhiCoronaScareExplodes PhonePe CoronaVirus Insurance Cover of AAA50K at AAA56 only Read more at AAA FForFree CoronavirusOutbreak COVID COVID19 Corona,INFORMATION,INFORMATION,,0,INFORMATION
 IndiaFightsCorona GooglePay PhonePe paytm COVID19 Do n t use cash transactions Stop spread the coronavirus Use digital payment wallet you can download Google pay Phonepe Paytm code tmpupupybAA AAA,CONVENIENCE,CONVENIENCE,Request,0,REQUEST
 Really PhonePe_ Is this how you thrive on your business Shame COVID19,COMPLAINT,COMPLAINT,Complaint,1,COMPLAINT
 narendramodi ji Desh ki Aam janta ne bhi se jyda PhonePe_ se abhi tak apni or se diya hai aur mujhe lagta hai Janta isse kahin jyada degi bus meri aasa hai is paise Se sirf COVID19 Equipment kharide jayein aur jald se jald,REQUEST,REQUEST,Help Covid-19,1,REQUEST
 Use mobile payment methods such as PhonePe GooglePay Paytm etc to pay for goods that will help in reducing the touch points and spread of the Covid-19 You Covid-19 dailyessentialsdoneright coronavirus covid_19 fightagainstcoronavirus stopthespread breakthechain,CONVENIENCE,HELP-COVID19,Request,1,HELP-COVID19
 Our policy covers Hospitalization expenses up to Rs 50000 for treatment at private hospitals We urge our customers to check their nearest private hospital offering Covid-19 treatment,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 HMLokesh hi sir amid the COVID19 pandemic an online transaction is not secure  today I receive money via phone pe within a second I received a fraud call and direct link to phone pe account Please go through it,FRAUD,FRAUD,Fraud Alert,1,FRAUD
 Ask GooglePay PhonePe_ PhonePeSupport Paytm Paytmcare amazonIN to feature K taka Covid on their home page so that Karnataka users find it easily and donate to cmrfcovid19 sbi Plz Google GoogleIndia others consider our request CMofKarnataka BSYBJP,REQUEST,REQUEST,Request,1,REQUEST
 Ask GooglePay PhonePe_ PhonePeSupport Paytm Paytmcare amazonIN to feature K taka Covid on their home page   so that Karnataka users find it easily and donate to cmrfcovid19 sbi Google can help us Plz Google GoogleIndia others consider our request  ,REQUEST,REQUEST,Request,1,REQUEST
 Hi i have a query about the covid-19 insurance policy PhonePe_,QUESTION,QUESTION,Question,1,QUESTION
 PhonePe_ introduces Insurance against Covid-19 at a very nominal cost of Rs Please go ahead and insurance yourself financially against the uncertainty which we are heading into staysafe stayathome,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 Wow Not only our Pradhan Sewak it seems Everyone is cashing on the golden oppurtunity of Corona COVID19 Keep it up guys  PhonePe Insurance  DesiStupides retheeshraj10,APPRECIATION,APPRECIATION,Appreciation,1,APPRECIATION
 A small contribution from my salary Thank you narendramodi sir for such a great initiative to fight against COVID-19 PhonePe_ StaySafeAtHome,DONATION,DONATION,Donation,1,DONATION
 GooglePayIndia GooglePay PhonePe_ Paytm PhonePeSupport Why there no direct donation Option for CM relief funds for covid Please consider the above suggestion AAA,DONATION,REQUEST,Question,1,REQUEST
 Amidst the corona chaos fintech lends helping hands to the banks Fintech InFin COVID19 PMCARES PMReliefFund Economy DigitalPayment PhonePe Paytm DigitalCurrency Payments Banks,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 COVID-19 The root cause of this disease rapid growth is that it is just money and this disease is developing so fast My point is that this money should be stopped immediately and should be blocked Money should not go from one hand to the other only money transfer for PhonePe,CONVENIENCE,CONVENIENCE,,0,CONVENIENCE
 Fight against Covid-19 DONATION Tata Amabani Paytm Infosys L T-150cr JSW group phonepe anandmahindra And health facility KotakBankLtd VedantaLimited akshaykumar PMCaresFunds,DONATION,DONATION,Help Covid-19,1,DONATION
 Fight against Covid-19 DONATION Paytm Infosys L T-150cr phonepe anandmahindra And health facility KotakBankLtd VedantaLimited,DONATION,DONATION,Help Covid-19,1,DONATION
 I have donoted to PM CARE FUND to tackle COVID19 narendramodi PMOIndia KirenRijiju IndiaSports Media_SAI ParalympicIndia PhonePe_ PMCareFund PhonePe,DONATION,DONATION,Donation,1,DONATION
 Narendra_Modi_ji IndiaFightsCorona COVID19 donate Join the PhonePe Donate to the PMCARES fund,DONATION,DONATION,Donation,1,DONATION
 There is no better deed than serving others I contributed to the PMcaresfund in this hours of INDIAAAAs battle against COVID19 Requesting you all to do the small contributions as possible AAAAAAAA No amount is too small so Please Join PhonePe_ StayHomeStaySafe AAA,DONATION,DONATION,Donation,1,DONATION
